Row Type,Name,Description,Last Updated,Finder Detail Page
Resource,AI in Finance - Micro-credential,"The AI in Finance pathway prepares accounting and finance professionals to apply artificial intelligence, machine learning, and data-driven techniques in planning, forecasting, auditing, reporting, and strategic decision-making. Learners progress through six badge series covering foundational AI concepts, financial data literacy, applied AI use cases across the finance cycle, generative AI for accounting, ethical and regulatory considerations, and strategic implementation practices.
This pathway equips professionals to evaluate AI opportunities, manage risks, work effectively with data, interpret AI-generated insights, and lead AI-enabled transformation within finance organizations. Designed for mid-career practitioners, the pathway bridges the gap between technical AI capabilities and real-world financial workflows.",Unknown,https://credentialfinder.org//
Resource,Welding Tech CAS_TEST,The Welding Program at Great Falls College is designed to provide students with comprehensive training in welding techniques and technologies. The Certificate of Applied Sciences (CAS) is the first year program.,Unknown,https://credentialfinder.org//
Resource,Certified Nurse Aide,"Enter the field of nursing by becoming a Certified Nurse Aide. This class will teach you the skills, knowledge and abilities to care for patients of long-term care facilities. You will learn how to provide safety and preventive measures in the care of patients as well as how to function as a member of the health care team. You will be prepared for entry-level employment in long-term care facilities, hospitals, and doctor's offices. Includes 60 hours of clinical practice (Seven 7 hour days and one 4 hour day). *This course of study prepares candidates to be certified. After completion of the class, you will be eligible to take the State of Texas Certified Nurse Aide Certification Exam. Candidates become ""Certified"" by passing the required certifying agency exam. Certification fee is not included in the cost of the course.",Unknown,https://credentialfinder.org//
Resource,Phlebotomy Technician,"Students are involved in skill development to perform a variety of blood collection methods using proper techniques and universal precautions. This course includes vacuum collection devices, syringes, capillary skin puncture, butterfly needles and blood culture, and specimen collection on adults, children, and infants. Emphasis on infection prevention, proper patient identification, labeling of specimens and quality assurance, specimen handling, processing, and accessioning. Topics include professionalism, ethics, and medical terminology.",Unknown,https://credentialfinder.org//
Resource,Sterile Processing Technician,The OSA Surgical Technology-Sterile Processing Technician credential is offered by the Surgical Technology program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Community Health Worker,The OSA Community Health Worker credential is offered by the Human Service Technology program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Diagnostic Medical Sonography,The AAS Diagnostic Medical Sonography credential is offered by the Diagnostic Medical Sonography program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Chemical Dependency Counselor,The Chemical Dependency Counseling Certificate credential is offered by the Human Service Technology program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Certified Surgical Technologist,The AAS Surgical Technology credential is offered by the Surgical Technology program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,EKG Technician,"The Electrocardiography Technician program trains students to record and monitor the heart's electrical activity, recognize and evaluate heart rhythms, and perform stress testing.",Unknown,https://credentialfinder.org//
Resource,Certified Prevention Specialist,The OSA Certified Prevention Specialist credential is offered by the Human Service Technology program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Medical Scribe Certificate,The Medical Scribe Certificate credential is offered by the Medical Assistant program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Health Information Technology,"A Health Information Technician, commonly known in the profession as a Registered Health Information Technician, performs a variety of health information-related functions, including organization, analysis, coding and technical evaluation of health information and interaction with administrative and financial departments of health-care facilities.",Unknown,https://credentialfinder.org//
Resource,Medical Assistant,The Medical Assistant Certificate credential is offered by the Medical Assistant program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Web Publishing,web publishing for digital communications,Unknown,https://credentialfinder.org//
Resource,Health Information Technology,Health Information Technology - Coding and Analysis,Unknown,https://credentialfinder.org//
Resource,Dental Assistant,"The Associate of Applied Science-Allied Health Specialization is a career path for persons who have completed the following certificate programs: Dental Assisting, Medical Assistant, Pharmacy Technician, Surgical Technology and Vocational Nursing. The 60 credit hour degrees for these programs are designed for health science professionals in these areas to meet continuing education goals and to attain possible promotion from entry-level to advanced level clinical posts.",Unknown,https://credentialfinder.org//
Resource,Dental Hygiene,The AAS Dental Hygiene credential is offered by the Dental Assisting program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Endoscopy Technician,"The Endoscopy Technician program is designed for individuals interested in caring for the endoscopy patient.  Upon completion of the program, graduates may gain employment as an Endoscopy Technician who handles the scopes, supplies and equipment during all types of endoscopy procedures.  The Endoscopy Technician may gain employment in hospitals, surgery centers, and free-standing endoscopy suites.",Unknown,https://credentialfinder.org//
Resource,Respiratory Therapist,The AAS Respiratory Therapist credential is offered by the Respiratory Therapist program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Radiology Technologist,The AAS Radiography credential is offered by the Health & Medical Diagnostic And Treatment Services program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Physical Therapist Assistant,The AAS Physical Therapist Assistant credential is offered by the Physical Therapist Assistant program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Healthcare Management,"The Bachelor of Applied Science (BAS) in Healthcare Management is designed to prepare students for career advancement or entry-level healthcare managerial positions. The degree program enables working professionals to advace their careers by focusing on leadership skills, knowledge, and credentials in healthcare management.",Unknown,https://credentialfinder.org//
Resource,Pharmacy Technician,The Pharmacy Technician Certificate credential is offered by the Pharmacy Technology program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Histologic Technician,The AAS Histologic Technician credential is offered by the Histologic Technology program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Licensed Vocational Nursing (LVN),"The Vocational Nursing Certificate credential is offered by the Practical Nursing, Vocational Nursing And Nursing program at Houston Community College.",Unknown,https://credentialfinder.org//
Resource,Medical Laboratory Technician,Medical Laboratory Technician AAS,Unknown,https://credentialfinder.org//
Resource,Medical Biotechnology,The ATC Medical Biotechnology credential is offered by the Biology Technician/Biotechnology Laboratory Techni program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Patient Care Technician,"The Patient Care Technician, also known as a PCT, Level 3, is a nationally recognized certification for certified nurse aides with phlebotomy and EKG training. Preparation for licensure/certification. Certified Patient Care Technicians assist doctors, nurses and other healthcare professionals in providing direct patient care in a variety of healthcare environments.",Unknown,https://credentialfinder.org//
Resource,Occupational Therapy Assistant,The AAS Occupational Therapy Assistant credential is offered by the Occupational Therapy Assistant program at Houston Community College.,Unknown,https://credentialfinder.org//
Resource,Future Ready NYC - Software Development Pathway,Future Ready NYC - Software Development Pathway,Unknown,https://credentialfinder.org//
Resource,Future Ready NYC - Data Science Pathway,Future Ready NYC - Data Science Pathway,Unknown,https://credentialfinder.org//
Resource,Future Ready NYC - Cybersecurity Pathway,Future Ready NYC - Cybersecurity Pathway for Information Security Analysts work experience.,Unknown,https://credentialfinder.org//
Resource,Professionalism,This badge is awarded to learners who understand and demonstrate the importance of professionalism in the workplace. Learners with this badge demonstrated this skill within their academic experiences at Chaffey College.,Unknown,https://credentialfinder.org//
Resource,Resilience,This badge is awarded to learners who understand and demonstrate the importance of planning for success and bouncing back from failure in the workplace. Learners with this badge demonstrated this skill within their academic experiences at Chaffey College.,Unknown,https://credentialfinder.org//
Resource,Social/Diversity Awareness,This badge is awarded to learners who understand and demonstrate the importance of being sensitive to differences in backgrounds and beliefs in the workplace. Learners with this badge demonstrated this skill within their academic experiences at Chaffey College.,Unknown,https://credentialfinder.org//
