old_url,new_url,action,status
.,.,keep,unchanged
apps/apps,products/learn-card-app,merge,redirected
apps/learn-card-app,products/learn-card-app,moved,redirected
apps/learn-card-app/analytics,products/learn-card-app,internal,redirected
apps/learn-card-app/resume-builder-ler-rs-mapping,products/learn-card-app,internal,redirected
apps/scouts,products/scouts,moved,redirected
apps/scouts/credential-revocation,understand/verifiable-credentials-vcs/credential-status-and-bitstring-status-lists,internal,redirected
core-concepts/architecture-and-principles,understand/ecosystem-architecture,merge,redirected
core-concepts/architecture-and-principles/auth-coordinator,understand/decentralized-identifiers-dids/key-management-sss,archive,redirected
core-concepts/architecture-and-principles/auth-grants-and-api-tokens,understand/decentralized-identifiers-dids/auth-grants-and-api-tokens,moved,redirected
core-concepts/architecture-and-principles/control-planes,reference/learncard-core/control-planes,moved,redirected
core-concepts/architecture-and-principles/plugins,understand/ecosystem-architecture/plugins,moved,redirected
core-concepts/architecture-and-principles/u.s.-state-api,reference/learncard-network,delete,redirected
core-concepts/consent-and-permissions,understand/consentflow-overview,merge,redirected
core-concepts/consent-and-permissions/accessing-consented-data,understand/consentflow-overview/writing-consented-data,merge,redirected
core-concepts/consent-and-permissions/auto-boosts,understand/consentflow-overview/auto-boosts,moved,redirected
core-concepts/consent-and-permissions/consent-contracts,understand/consentflow-overview,merge,redirected
core-concepts/consent-and-permissions/consent-transactions,understand/consentflow-overview,merge,redirected
core-concepts/consent-and-permissions/consentflow-overview,understand/consentflow-overview,moved,redirected
core-concepts/consent-and-permissions/gameflow-overview,understand/consentflow-overview/gameflow-overview,moved,redirected
core-concepts/consent-and-permissions/user-consent-and-terms,understand/consentflow-overview,merge,redirected
core-concepts/consent-and-permissions/verifiable-data-in-consentflow,understand/consentflow-overview/verifiable-data-in-consentflow,moved,redirected
core-concepts/consent-and-permissions/writing-consented-data,understand/consentflow-overview/writing-consented-data,moved,redirected
core-concepts/credentials-and-data,understand/verifiable-credentials-vcs,merge,redirected
core-concepts/credentials-and-data/achievement-types-and-categories,reference/learncard-core/achievement-types-and-categories,moved,redirected
core-concepts/credentials-and-data/boost-credentials,understand/verifiable-credentials-vcs/boost-credentials,moved,redirected
core-concepts/credentials-and-data/building-verifiable-credentials,understand/verifiable-credentials-vcs/building-verifiable-credentials,moved,redirected
core-concepts/credentials-and-data/credential-lifecycle,understand/verifiable-credentials-vcs,merge,redirected
core-concepts/credentials-and-data/credential-status-and-bitstring-status-lists,understand/verifiable-credentials-vcs/credential-status-and-bitstring-status-lists,moved,redirected
core-concepts/credentials-and-data/display-hint-tags,understand/verifiable-credentials-vcs/display-hint-tags,moved,redirected
core-concepts/credentials-and-data/general-best-practices-and-troubleshooting,understand/verifiable-credentials-vcs/building-verifiable-credentials,delete,redirected
core-concepts/credentials-and-data/getting-started-with-boosts,understand/verifiable-credentials-vcs/boost-credentials,merge,redirected
core-concepts/credentials-and-data/uris,understand/verifiable-credentials-vcs/uris,moved,redirected
core-concepts/credentials-and-data/verifiable-credentials-vcs,understand/verifiable-credentials-vcs,moved,redirected
core-concepts/credentials-and-data/xapi-data,understand/verifiable-credentials-vcs/xapi-data,moved,redirected
